instance_id,agent_a,agent_b,action_levenshtein,n_steps_diff,n_edits_diff,n_searches_diff,n_opens_diff,n_runs_diff,n_nav_diff,edit_retries_diff,edit_retry_rate_diff,n_files_opened_diff,n_files_edited_diff,n_steps_absdiff,n_edits_absdiff,n_searches_absdiff,n_opens_absdiff,n_runs_absdiff,n_nav_absdiff,edit_retries_absdiff,edit_retry_rate_absdiff,n_files_opened_absdiff,n_files_edited_absdiff,action_seq_a,action_seq_b
django__django-14672,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.8,2.0,-2.0,0.0,1.0,0.0,2.0,1.0,0.4666666666666666,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.4666666666666666,1.0,0.0,OTHER OPEN SEARCH NAV OPEN SEARCH NAV EDIT NAV RUN OTHER RUN OTHER RUN SUBMIT,CREATE EDIT RUN EDIT RUN EDIT RUN SEARCH OPEN SEARCH NAV EDIT RUN OTHER SUBMIT
django__django-14752,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666663,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666663,0.0,0.0,OTHER OPEN EDIT SUBMIT,OTHER OPEN EDIT SUBMIT
django__django-14855,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6666666666666666,-20.0,-13.0,0.0,0.0,-6.0,0.0,-5.0,-0.35714285714285715,0.0,0.0,20.0,13.0,0.0,0.0,6.0,0.0,5.0,0.35714285714285715,0.0,0.0,OTHER OPEN SEARCH NAV EDIT RUN OTHER RUN SUBMIT,OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OTHER SUBMIT
django__django-14915,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.7058823529411765,-6.0,-3.0,-1.0,0.0,-2.0,0.0,-1.0,-0.16666666666666666,0.0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,1.0,0.16666666666666666,0.0,0.0,OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN EDIT RUN SUBMIT,CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN OTHER SEARCH OPEN SEARCH NAV EDIT OTHER SUBMIT
django__django-15213,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6346153846153846,25.0,8.0,-2.0,0.0,13.0,3.0,-5.0,-0.625,-1.0,0.0,25.0,8.0,2.0,0.0,13.0,3.0,5.0,0.625,1.0,0.0,CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OTHER OPEN SEARCH NAV SEARCH OPEN SEARCH NAV OTHER OPEN SEARCH NAV SEARCH NAV SEARCH OPEN NAV EDIT OPEN CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN SUBMIT,CREATE EDIT RUN EDIT RUN SEARCH OPEN SEARCH NAV SEARCH OTHER OPEN SEARCH OTHER OPEN SEARCH OPEN SEARCH OPEN SEARCH NAV SEARCH OPEN NAV EDIT OTHER SUBMIT
django__django-15347,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.4166666666666667,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,CREATE EDIT RUN OPEN EDIT RUN EDIT OTHER OPEN EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN EDIT RUN OTHER SUBMIT
django__django-16255,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6666666666666666,7.0,1.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,OTHER OPEN NAV EDIT RUN OTHER RUN CREATE EDIT RUN OTHER SUBMIT,OTHER OPEN SEARCH NAV EDIT SUBMIT
django__django-16379,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.5,7.0,4.0,1.0,1.0,-1.0,0.0,5.0,0.7142857142857143,0.0,0.0,7.0,4.0,1.0,1.0,1.0,0.0,5.0,0.7142857142857143,0.0,0.0,OTHER OPEN EDIT RUN OTHER OPEN SEARCH EDIT OTHER SUBMIT,OTHER OPEN EDIT CREATE EDIT RUN EDIT RUN OTHER SUBMIT
django__django-16527,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.3333333333333333,3.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,OTHER OPEN EDIT OTHER RUN SUBMIT,OTHER OPEN EDIT SUBMIT
django__django-16873,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.7241379310344828,-19.0,-15.0,1.0,-1.0,-8.0,0.0,-5.0,0.0,-1.0,-1.0,19.0,15.0,1.0,1.0,8.0,0.0,5.0,0.0,1.0,1.0,OTHER OPEN SEARCH NAV EDIT OTHER CREATE EDIT RUN OTHER RUN SUBMIT,CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OTHER OPEN SEARCH NAV EDIT RUN EDIT OPEN EDIT RUN EDIT RUN EDIT OTHER
matplotlib__matplotlib-23964,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.36363636363636365,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,CREATE EDIT RUN OPEN EDIT RUN EDIT RUN EDIT RUN SUBMIT,CREATE EDIT RUN OPEN EDIT RUN OTHER SUBMIT
matplotlib__matplotlib-26011,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6551724137931034,-16.0,-4.0,-1.0,-3.0,-5.0,-3.0,0.0,0.0,-1.0,0.0,16.0,4.0,1.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,OTHER OPEN SEARCH NAV SEARCH OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN SEARCH NAV EDIT RUN OPEN EDIT RUN OPEN NAV EDIT RUN EDIT RUN NAV SEARCH OPEN SEARCH NAV OPEN NAV EDIT RUN OTHER SUBMIT
psf__requests-2317,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN SEARCH NAV EDIT CREATE EDIT RUN OTHER SUBMIT,OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN OTHER SUBMIT
pytest-dev__pytest-11143,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.5384615384615384,-3.0,2.0,-1.0,0.0,-3.0,-1.0,3.0,0.6,0.0,0.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,0.6,0.0,0.0,OTHER OPEN EDIT CREATE EDIT OTHER SUBMIT,CREATE EDIT RUN OTHER OPEN SEARCH NAV EDIT RUN EDIT RUN OTHER SUBMIT
pytest-dev__pytest-5227,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.5,4.0,-5.0,-1.0,-1.0,0.0,0.0,-4.0,-0.6666666666666666,-1.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,4.0,0.6666666666666666,1.0,0.0,OTHER OPEN EDIT OTHER SUBMIT,SEARCH OPEN EDIT OPEN EDIT SUBMIT
scikit-learn__scikit-learn-10297,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.36,12.0,4.0,0.0,1.0,2.0,1.0,1.0,0.1111111111111111,0.0,0.0,12.0,4.0,0.0,1.0,2.0,1.0,1.0,0.1111111111111111,0.0,0.0,CREATE EDIT RUN OTHER OPEN SEARCH NAV EDIT SEARCH NAV EDIT OPEN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OPEN SEARCH NAV EDIT SUBMIT,CREATE EDIT RUN SEARCH OPEN SEARCH NAV EDIT SEARCH NAV EDIT OPEN EDIT RUN EDIT RUN OTHER SUBMIT
scikit-learn__scikit-learn-14894,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.25,-7.0,-9.0,1.0,-1.0,0.0,1.0,-9.0,-0.6428571428571429,0.0,0.0,7.0,9.0,1.0,1.0,0.0,1.0,9.0,0.6428571428571429,0.0,0.0,CREATE EDIT RUN OTHER OPEN SEARCH NAV EDIT RUN EDIT RUN EDIT RUN EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN EDIT RUN EDIT RUN OPEN EDIT RUN EDIT RUN OTHER SUBMIT
scikit-learn__scikit-learn-15535,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.7837837837837838,39.0,29.0,-2.0,0.0,12.0,-3.0,17.0,0.0757575757575758,1.0,2.0,39.0,29.0,2.0,0.0,12.0,3.0,17.0,0.0757575757575758,1.0,2.0,CREATE EDIT RUN OTHER OPEN OTHER OPEN NAV EDIT RUN OTHER EDIT RUN NAV EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OTHER,CREATE EDIT RUN OPEN SEARCH NAV OPEN SEARCH NAV OPEN EDIT RUN OTHER SUBMIT
sympy__sympy-13480,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CREATE EDIT RUN OTHER OPEN EDIT RUN SUBMIT,CREATE EDIT RUN OPEN EDIT RUN OTHER SUBMIT
sympy__sympy-13647,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.8714285714285714,72.0,7.0,19.0,16.0,5.0,13.0,0.0,0.0,5.0,0.0,72.0,7.0,19.0,16.0,5.0,13.0,0.0,0.0,5.0,0.0,CREATE EDIT RUN OTHER OPEN SEARCH OPEN SEARCH OPEN NAV SEARCH NAV OTHER OPEN SEARCH NAV SEARCH OPEN SEARCH OPEN SEARCH NAV SEARCH OPEN SEARCH OTHER OPEN SEARCH NAV SEARCH NAV SEARCH OPEN NAV SEARCH CREATE EDIT RUN OPEN NAV SEARCH NAV SEARCH NAV SEARCH OPEN NAV SEARCH OPEN EDIT RUN OPEN NAV EDIT OPEN EDIT RUN OPEN EDIT OTHER OPEN NAV EDIT OTHER RUN EDIT RUN EDIT RUN OTHER,CREATE EDIT RUN SEARCH OPEN NAV EDIT RUN OTHER SUBMIT
sympy__sympy-14774,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.2222222222222222,-3.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,CREATE EDIT RUN OPEN EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN EDIT RUN OTHER SUBMIT
sympy__sympy-23262,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.21428571428571427,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,CREATE EDIT RUN OTHER OPEN SEARCH NAV SEARCH NAV SEARCH NAV EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN SEARCH NAV SEARCH NAV EDIT RUN OTHER SUBMIT
sympy__sympy-24213,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.38461538461538464,-2.0,-2.0,0.0,0.0,2.0,0.0,-4.0,-0.45833333333333337,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.45833333333333337,0.0,0.0,CREATE EDIT RUN OPEN EDIT RUN EDIT RUN EDIT RUN EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN EDIT RUN EDIT RUN OTHER SUBMIT
astropy__astropy-14995,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.75,42.0,11.0,4.0,6.0,6.0,5.0,5.0,0.38461538461538464,4.0,3.0,42.0,11.0,4.0,6.0,6.0,5.0,5.0,0.38461538461538464,4.0,3.0,CREATE EDIT RUN OTHER RUN EDIT OTHER RUN OTHER OPEN SEARCH OTHER SEARCH OPEN SEARCH NAV SEARCH NAV EDIT OTHER EDIT OPEN RUN EDIT OPEN EDIT RUN OTHER OPEN NAV EDIT OTHER OPEN NAV EDIT SUBMIT,CREATE EDIT RUN OTHER OPEN EDIT RUN OTHER SUBMIT
django__django-11039,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.8461538461538461,43.0,16.0,-1.0,2.0,19.0,1.0,-2.0,-0.5,0.0,1.0,43.0,16.0,1.0,2.0,19.0,1.0,2.0,0.5,0.0,1.0,OTHER OPEN EDIT OTHER OPEN NAV EDIT RUN OTHER RUN CREATE EDIT RUN EDIT RUN OTHER RUN CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OPEN CREATE EDIT SUBMIT,SEARCH OPEN EDIT OPEN EDIT RUN OTHER CREATE OTHER
django__django-11049,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.6153846153846154,-31.0,-42.0,2.0,0.0,4.0,1.0,-39.0,-0.24444444444444446,0.0,0.0,31.0,42.0,2.0,0.0,4.0,1.0,39.0,0.24444444444444446,0.0,0.0,OTHER OPEN SEARCH NAV EDIT RUN OTHER RUN OTHER RUN SEARCH NAV SUBMIT,SEARCH OPEN SEARCH NAV EDIT CREATE EDIT RUN CREATE EDIT OTHER EDIT OTHER
django__django-11099,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.45454545454545453,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,OTHER OPEN EDIT SEARCH RUN OTHER RUN CREATE EDIT RUN SUBMIT,OTHER OPEN EDIT CREATE EDIT RUN EDIT RUN OTHER SUBMIT
django__django-11133,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.38461538461538464,-1.0,0.0,-1.0,1.0,0.0,2.0,-1.0,-0.25,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.25,1.0,0.0,CREATE EDIT RUN EDIT RUN OPEN NAV EDIT NAV EDIT OPEN RUN SUBMIT,CREATE EDIT RUN EDIT RUN OTHER OPEN SEARCH NAV EDIT RUN OTHER SUBMIT
django__django-12453,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.7551020408163265,-49.0,-17.0,0.0,-8.0,-8.0,2.0,-7.0,-0.3684210526315789,-6.0,0.0,49.0,17.0,0.0,8.0,8.0,2.0,7.0,0.3684210526315789,6.0,0.0,OTHER OPEN EDIT NAV RUN OTHER RUN OTHER RUN OTHER RUN NAV EDIT NAV SUBMIT,OTHER OPEN EDIT NAV EDIT CREATE EDIT RUN OTHER RUN CREATE EDIT OTHER RUN CREATE EDIT OPEN EDIT RUN EDIT OPEN EDIT RUN OPEN EDIT RUN OPEN CREATE RUN OTHER OPEN EDIT RUN CREATE EDIT RUN OTHER RUN OTHER OPEN OTHER OPEN EDIT RUN OTHER OPEN OTHER RUN OTHER
django__django-12497,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.6153846153846154,-18.0,-4.0,0.0,0.0,-7.0,1.0,-4.0,-0.33333333333333337,0.0,0.0,18.0,4.0,0.0,0.0,7.0,1.0,4.0,0.33333333333333337,0.0,0.0,OTHER OPEN SEARCH NAV EDIT SEARCH NAV SUBMIT,SEARCH OPEN SEARCH NAV EDIT RUN OTHER RUN OTHER RUN OTHER RUN SUBMIT
django__django-13447,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.26666666666666666,-4.0,-3.0,-1.0,1.0,2.0,0.0,-2.0,-0.0714285714285714,1.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0714285714285714,1.0,0.0,OTHER OPEN OTHER OPEN SEARCH NAV EDIT SEARCH EDIT RUN OTHER RUN OTHER RUN SUBMIT,OTHER OPEN SEARCH OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN EDIT RUN OTHER SUBMIT
django__django-13658,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.6346153846153846,47.0,21.0,4.0,3.0,10.0,0.0,11.0,0.39285714285714285,2.0,2.0,47.0,21.0,4.0,3.0,10.0,0.0,11.0,0.39285714285714285,2.0,2.0,OTHER OPEN NAV SEARCH NAV EDIT RUN OTHER RUN OTHER RUN OTHER EDIT SEARCH EDIT OPEN SEARCH EDIT SEARCH EDIT RUN OPEN SEARCH EDIT RUN EDIT RUN EDIT RUN OPEN SEARCH EDIT RUN EDIT RUN EDIT RUN OTHER EDIT RUN EDIT RUN EDIT RUN OTHER OPEN EDIT OPEN EDIT RUN EDIT OTHER,SEARCH OPEN SEARCH NAV SEARCH NAV EDIT CREATE EDIT RUN OPEN EDIT RUN EDIT OPEN EDIT RUN EDIT RUN EDIT RUN OTHER SUBMIT
django__django-13710,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.5333333333333333,-34.0,-37.0,-1.0,1.0,2.0,-1.0,-36.0,-0.6524390243902439,0.0,1.0,34.0,37.0,1.0,1.0,2.0,1.0,36.0,0.6524390243902439,0.0,1.0,OTHER OPEN SEARCH OPEN EDIT CREATE OTHER CREATE EDIT RUN OTHER RUN EDIT RUN SUBMIT,OTHER OPEN SEARCH NAV EDIT SEARCH CREATE EDIT RUN CREATE EDIT OTHER EDIT OTHER
django__django-13933,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.4090909090909091,-37.0,-44.0,-1.0,1.0,3.0,0.0,-44.0,-0.7333333333333334,1.0,0.0,37.0,44.0,1.0,1.0,3.0,0.0,44.0,0.7333333333333334,1.0,0.0,OTHER OPEN SEARCH OTHER OPEN SEARCH NAV EDIT SEARCH NAV EDIT NAV CREATE EDIT RUN OTHER RUN EDIT RUN EDIT RUN SUBMIT,OTHER SEARCH OPEN SEARCH NAV EDIT SEARCH NAV EDIT NAV EDIT CREATE EDIT RUN CREATE EDIT OTHER
django__django-14238,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.631578947368421,2.0,-6.0,-1.0,0.0,2.0,0.0,-3.0,-0.375,0.0,0.0,2.0,6.0,1.0,0.0,2.0,0.0,3.0,0.375,0.0,0.0,OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN OTHER RUN OTHER RUN OTHER RUN OTHER RUN OTHER RUN SUBMIT,CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN SEARCH OPEN SEARCH NAV EDIT RUN OTHER SUBMIT
django__django-14855,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.7894736842105263,-59.0,-38.0,-1.0,-5.0,-9.0,0.0,-27.0,-0.6923076923076923,-2.0,0.0,59.0,38.0,1.0,5.0,9.0,0.0,27.0,0.6923076923076923,2.0,0.0,OTHER OPEN SEARCH NAV EDIT RUN OTHER RUN SUBMIT,OTHER OPEN SEARCH NAV EDIT SEARCH OPEN EDIT RUN OTHER RUN CREATE EDIT OTHER RUN CREATE EDIT OPEN EDIT RUN EDIT OPEN EDIT RUN CREATE EDIT RUN OPEN CREATE EDIT RUN CREATE EDIT OPEN EDIT RUN EDIT OTHER
django__django-15347,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.4166666666666667,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,CREATE EDIT RUN OPEN EDIT RUN EDIT OTHER OPEN EDIT RUN SUBMIT,CREATE EDIT RUN OTHER OPEN EDIT RUN OTHER SUBMIT
django__django-15851,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.6444444444444445,-51.0,-14.0,-2.0,-3.0,-11.0,0.0,-7.0,-0.3684210526315789,-2.0,-1.0,51.0,14.0,2.0,3.0,11.0,0.0,7.0,0.3684210526315789,2.0,1.0,OTHER OPEN OTHER OPEN EDIT OTHER RUN OTHER EDIT OPEN EDIT RUN OTHER RUN OPEN EDIT RUN EDIT SUBMIT,OTHER OPEN SEARCH OPEN EDIT CREATE EDIT RUN CREATE EDIT RUN OTHER OPEN OTHER OPEN EDIT RUN OTHER CREATE EDIT RUN OTHER RUN OTHER RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OPEN EDIT RUN EDIT OPEN CREATE OTHER CREATE OTHER EDIT RUN OTHER
django__django-16255,Claude 3.5 Sonnet (SWE-agent),GPT-4o (SWE-agent),0.3333333333333333,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,OTHER OPEN NAV EDIT RUN OTHER RUN CREATE EDIT RUN OTHER SUBMIT,OTHER OPEN EDIT CREATE EDIT RUN OTHER SUBMIT
